Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Domicili,Valor
1997,01,06,28,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,122
1997,01,06,28,Dues persones: una de 18-64 anys i l'altra de 65 i més,292
1997,01,06,28,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,810
1997,01,06,28,Un home de 18 a 64 anys,282
1997,01,06,28,Un home de 65 anys i més,104
1997,01,06,28,Una dona de 18 a 64 anys,367
1997,01,06,28,Una dona de 65 anys i més,518
1997,01,06,29,Altres domicilis amb una o més persones menors de 18 anys,231
1997,01,06,29,Dues persones de 18 a 64 anys,319
1997,01,06,29,Dues persones de 65 anys i més,183
1997,01,06,29,Dues persones o més totes majors de 18 anys,606
1997,01,06,29,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,9
1997,01,06,29,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,53
1997,01,06,29,Dues persones: una de 18-64 anys i l'altra de 65 i més,127
1997,01,06,29,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,422
1997,01,06,29,Un home de 18 a 64 anys,106
1997,01,06,29,Un home de 65 anys i més,47
1997,01,06,29,Una dona de 18 a 64 anys,154
1997,01,06,29,Una dona de 65 anys i més,176
1997,01,06,30,Altres domicilis amb una o més persones menors de 18 anys,398
1997,01,06,30,Dues persones de 18 a 64 anys,549
1997,01,06,30,Dues persones de 65 anys i més,397
1997,01,06,30,Dues persones o més totes majors de 18 anys,1174
1997,01,06,30,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,26
1997,01,06,30,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,136
1997,01,06,30,Dues persones: una de 18-64 anys i l'altra de 65 i més,271
1997,01,06,30,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,765
1997,01,06,30,Un home de 18 a 64 anys,206
1997,01,06,30,Un home de 65 anys i més,77
1997,01,06,30,Una dona de 18 a 64 anys,319
1997,01,06,30,Una dona de 65 anys i més,387
1997,01,06,31,Altres domicilis amb una o més persones menors de 18 anys,1174
1997,01,06,31,Dues persones de 18 a 64 anys,2229
1997,01,06,31,Dues persones de 65 anys i més,2256
1997,01,06,31,Dues persones o més totes majors de 18 anys,3759
1997,01,06,31,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,81
1997,01,06,31,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,415
1997,01,06,31,Dues persones: una de 18-64 anys i l'altra de 65 i més,1331
1997,01,06,31,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,2416
1997,01,06,31,Un home de 18 a 64 anys,1222
1997,01,06,31,Un home de 65 anys i més,542
1997,01,06,31,Una dona de 18 a 64 anys,1749
1997,01,06,31,Una dona de 65 anys i més,2964
1997,01,06,32,Altres domicilis amb una o més persones menors de 18 anys,955
1997,01,06,32,Dues persones de 18 a 64 anys,1509
1997,01,06,32,Dues persones de 65 anys i més,1286
1997,01,06,32,Dues persones o més totes majors de 18 anys,2905
1997,01,06,32,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,55
1997,01,06,32,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,265
1997,01,06,32,Dues persones: una de 18-64 anys i l'altra de 65 i més,784
1997,01,06,32,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,2143
1997,01,06,32,Un home de 18 a 64 anys,619
1997,01,06,32,Un home de 65 anys i més,259
1997,01,06,32,Una dona de 18 a 64 anys,932
1997,01,06,32,Una dona de 65 anys i més,1407
1997,01,07,33,Altres domicilis amb una o més persones menors de 18 anys,693
1997,01,07,33,Dues persones de 18 a 64 anys,1149
1997,01,07,33,Dues persones de 65 anys i més,918
1997,01,07,33,Dues persones o més totes majors de 18 anys,2317
