Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Edat,Valor
1997,01,08,52,0-9 anys,1819
1997,01,08,52,10-19 anys,3143
1997,01,08,52,20-29 anys,5113
1997,01,08,52,30-39 anys,3742
1997,01,08,52,40-49 anys,3332
1997,01,08,52,50-59 anys,4187
1997,01,08,52,60-69 anys,3660
1997,01,08,52,>70 anys,2367
1997,01,08,53,0-9 anys,447
1997,01,08,53,10-19 anys,733
1997,01,08,53,20-29 anys,1039
1997,01,08,53,30-39 anys,1042
1997,01,08,53,40-49 anys,779
1997,01,08,53,50-59 anys,601
1997,01,08,53,60-69 anys,1256
1997,01,08,53,>70 anys,1590
1997,01,08,54,0-9 anys,292
1997,01,08,54,10-19 anys,392
1997,01,08,54,20-29 anys,452
1997,01,08,54,30-39 anys,342
1997,01,08,54,40-49 anys,249
1997,01,08,54,50-59 anys,224
1997,01,08,54,60-69 anys,229
1997,01,08,54,>70 anys,145
1997,01,08,55,0-9 anys,782
1997,01,08,55,10-19 anys,1169
1997,01,08,55,20-29 anys,2125
1997,01,08,55,30-39 anys,1335
1997,01,08,55,40-49 anys,1153
1997,01,08,55,50-59 anys,1438
1997,01,08,55,60-69 anys,1093
1997,01,08,55,>70 anys,587
1997,01,08,56,0-9 anys,75
1997,01,08,56,10-19 anys,123
1997,01,08,56,20-29 anys,136
1997,01,08,56,30-39 anys,93
1997,01,08,56,40-49 anys,58
1997,01,08,56,50-59 anys,77
1997,01,08,56,60-69 anys,75
1997,01,08,56,>70 anys,36
1997,01,09,57,0-9 anys,639
1997,01,09,57,10-19 anys,1011
1997,01,09,57,20-29 anys,1454
1997,01,09,57,30-39 anys,1080
1997,01,09,57,40-49 anys,985
1997,01,09,57,50-59 anys,980
1997,01,09,57,60-69 anys,878
1997,01,09,57,>70 anys,639
1997,01,09,58,0-9 anys,252
1997,01,09,58,10-19 anys,294
1997,01,09,58,20-29 anys,397
1997,01,09,58,30-39 anys,324
1997,01,09,58,40-49 anys,239
1997,01,09,58,50-59 anys,208
1997,01,09,58,60-69 anys,282
1997,01,09,58,>70 anys,249
1997,01,09,59,0-9 anys,769
1997,01,09,59,10-19 anys,1171
1997,01,09,59,20-29 anys,1733
1997,01,09,59,30-39 anys,1389
1997,01,09,59,40-49 anys,1170
1997,01,09,59,50-59 anys,1285
1997,01,09,59,60-69 anys,1434
1997,01,09,59,>70 anys,954
1997,01,09,60,0-9 anys,4151
1997,01,09,60,10-19 anys,6522
1997,01,09,60,20-29 anys,7694
1997,01,09,60,30-39 anys,7787
1997,01,09,60,40-49 anys,7984
1997,01,09,60,50-59 anys,6087
1997,01,09,60,60-69 anys,5342
1997,01,09,60,>70 anys,5038
1997,01,09,61,0-9 anys,1974
1997,01,09,61,10-19 anys,3644
1997,01,09,61,20-29 anys,4366
1997,01,09,61,30-39 anys,3951
1997,01,09,61,40-49 anys,4515
1997,01,09,61,50-59 anys,3463
1997,01,09,61,60-69 anys,3116
1997,01,09,61,>70 anys,2408
1997,01,09,62,0-9 anys,827
1997,01,09,62,10-19 anys,1043
1997,01,09,62,20-29 anys,1881
1997,01,09,62,30-39 anys,1971
1997,01,09,62,40-49 anys,1415
1997,01,09,62,50-59 anys,1402
1997,01,09,62,60-69 anys,2364
1997,01,09,62,>70 anys,2607
1997,01,09,63,0-9 anys,1523
1997,01,09,63,10-19 anys,2229
1997,01,09,63,20-29 anys,3333
1997,01,09,63,30-39 anys,2974
1997,01,09,63,40-49 anys,2881
1997,01,09,63,50-59 anys,2706
1997,01,09,63,60-69 anys,2614
1997,01,09,63,>70 anys,2435
1997,01,10,64,0-9 anys,2443
1997,01,10,64,10-19 anys,3821
1997,01,10,64,20-29 anys,5383
1997,01,10,64,30-39 anys,5247
1997,01,10,64,40-49 anys,5257
1997,01,10,64,50-59 anys,4421
1997,01,10,64,60-69 anys,4466
1997,01,10,64,>70 anys,4992
1997,01,10,65,0-9 anys,2069
1997,01,10,65,10-19 anys,2763
1997,01,10,65,20-29 anys,3129
1997,01,10,65,30-39 anys,4023
1997,01,10,65,40-49 anys,3592
1997,01,10,65,50-59 anys,2284
1997,01,10,65,60-69 anys,2320
1997,01,10,65,>70 anys,2178
1997,01,10,66,0-9 anys,990
1997,01,10,66,10-19 anys,1393
1997,01,10,66,20-29 anys,1695
1997,01,10,66,30-39 anys,1927
1997,01,10,66,40-49 anys,1913
1997,01,10,66,50-59 anys,1379
1997,01,10,66,60-69 anys,1456
1997,01,10,66,>70 anys,1357
1997,01,10,67,0-9 anys,806
1997,01,10,67,10-19 anys,636
1997,01,10,67,20-29 anys,767
1997,01,10,67,30-39 anys,1464
1997,01,10,67,40-49 anys,1113
1997,01,10,67,50-59 anys,499
1997,01,10,67,60-69 anys,258
1997,01,10,67,>70 anys,202
1997,01,10,68,0-9 anys,1733
1997,01,10,68,10-19 anys,2248
1997,01,10,68,20-29 anys,3310
1997,01,10,68,30-39 anys,3606
1997,01,10,68,40-49 anys,2740
1997,01,10,68,50-59 anys,2526
1997,01,10,68,60-69 anys,3234
1997,01,10,68,>70 anys,3739
1997,01,10,69,0-9 anys,162
1997,01,10,69,10-19 anys,304
1997,01,10,69,20-29 anys,743
1997,01,10,69,30-39 anys,415
1997,01,10,69,40-49 anys,335
1997,01,10,69,50-59 anys,634
1997,01,10,69,60-69 anys,605
1997,01,10,69,>70 anys,438
1997,01,10,70,0-9 anys,1855
1997,01,10,70,10-19 anys,2535
1997,01,10,70,20-29 anys,3084
1997,01,10,70,30-39 anys,3432
1997,01,10,70,40-49 anys,2472
1997,01,10,70,50-59 anys,2006
1997,01,10,70,60-69 anys,3471
1997,01,10,70,>70 anys,2366
1997,01,10,71,0-9 anys,1710
1997,01,10,71,10-19 anys,1946
1997,01,10,71,20-29 anys,2273
1997,01,10,71,30-39 anys,3086
1997,01,10,71,40-49 anys,2216
1997,01,10,71,50-59 anys,1615
1997,01,10,71,60-69 anys,1901
1997,01,10,71,>70 anys,1582
1997,01,10,72,0-9 anys,1621
