Data_Referencia,Codi_Districte,Codi_Barri,Poblacio,Import_Total,Renda_Mitjana
2020,06,31,50048,896886898,17920.534247122763
2020,06,32,34899,656908731,18823.13908707986
2020,07,33,25770,423435636,16431.34016298021
2020,07,34,9193,141242532,15364.139236375504
2020,07,35,37156,591974022,15932.124609753471
2020,07,36,9380,176016302,18765.064179104476
2020,07,37,32116,378264284,11778.063395192428
2020,07,38,11780,152708697,12963.386842105263
2020,07,39,7312,100466855,13739.996580962801
2020,07,40,5054,75858798,15009.655322516819
2020,07,41,5777,103921277,17988.796434135365
2020,07,42,620,9031540,14567
2020,07,43,27948,440654450,15766.940389294405
2020,08,44,25743,381096234,14803.878102785224
2020,08,45,27508,365612346,13291.127890068345
2020,08,46,16043,176881419,11025.457769743813
2020,08,47,2214,22991394,10384.550135501355
2020,08,48,15200,229127651,15074.187565789474
2020,08,49,6765,95053161,14050.725942350333
2020,08,50,16235,164843680,10153.5990144749
2020,08,51,12678,139086208,10970.674238838934
2020,08,52,26654,326459794,12248.060103549185
2020,08,53,7590,73761960,9718.308300395256
2020,08,54,2864,26170372,9137.69972067039
2020,08,55,11003,92789944,8433.149504680541
2020,08,56,1402,13260116,9458
2020,09,57,10390,97579116,9391.637728585178
2020,09,58,2569,24633000,9588.555858310627
2020,09,59,13529,160669574,11875.938650306749
2020,09,60,57751,939317305,16264.953074405637
2020,09,61,29148,445920033,15298.477871552079
2020,09,62,14584,219048680,15019.794295117938
2020,09,63,22263,347106117,15591.165476350896
2020,10,64,38650,619575536,16030.41490297542
2020,10,65,26672,416682254,15622.460032993402
2020,10,66,15763,260518077,16527.18879654888
2020,10,67,9260,213152794,23018.660259179265
2020,10,68,33971,572065745,16839.826469635867
2020,10,69,13352,254387259,19052.371105452366
2020,10,70,25447,262686412,10322.883326128816
2020,10,71,20996,315177463,15011.309916174509
2020,10,72,25818,370022216,14331.947323572702
2020,10,73,28442,372207884,13086.558047957245
2021,01,01,48173,484241982,10052.145018994042
2021,01,02,22530,308707973,13702.08490901021
2021,01,03,14644,193928729,13242.87960939634
2021,01,04,22613,321780119,14229.87303763322
2021,02,05,32992,598522377,18141.439652036857
2021,02,06,51385,906903147,17649.180636372483
2021,02,07,43384,951927199,21941.895606675273
2021,02,08,42417,893985063,21076.103048306104
2021,02,09,56858,1128188936,19842.21984593197
2021,02,10,38180,676003927,17705.707883708747
2021,03,11,39673,527127289,13286.801829959923
2021,03,12,1322,15602244,11802
2021,03,13,30775,421452333,13694.633078797726
2021,03,14,10070,163684896,16254.706653426018
2021,03,15,15855,247036310,15580.97193314412
2021,03,16,19189,307234807,16010.985825212361
2021,03,17,24607,382740684,15554.138415897914
2021,03,18,43012,737622512,17149.22607644378
2021,04,19,45159,1000586457,22156.96665116588
2021,04,20,23566,474530811,20136.247602478146
2021,04,21,11699,333152368,28476.99529874348
2021,05,22,4683,99494213,21245.828101644245
2021,05,23,24489,646981921,26419.287067663034
2021,05,24,16156,489208205,30280.280081703393
2021,05,25,25587,678155188,26503.896040958298
2021,05,26,46772,1268843719,27128.27587017874
2021,05,27,29615,675083019,22795.307074117845
