Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Educacio,Valor
1997,01,10,71,"Estudis primaris, certificat d'escolaritat, EGB",4288
1997,01,10,71,"Estudis universitaris, CFGS grau superior",1119
1997,01,10,71,No consta,403
1997,01,10,71,Sense estudis,2301
1997,01,10,72,"Batxillerat elemental, graduat escolar, ESO, FPI",5259
1997,01,10,72,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",4869
1997,01,10,72,"Estudis primaris, certificat d'escolaritat, EGB",7433
1997,01,10,72,"Estudis universitaris, CFGS grau superior",2148
1997,01,10,72,No consta,532
1997,01,10,72,Sense estudis,4022
1997,01,10,73,"Batxillerat elemental, graduat escolar, ESO, FPI",6391
1997,01,10,73,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",4863
1997,01,10,73,"Estudis primaris, certificat d'escolaritat, EGB",8355
1997,01,10,73,"Estudis universitaris, CFGS grau superior",1808
1997,01,10,73,No consta,745
1997,01,10,73,Sense estudis,5709
1998,01,01,01,"Batxillerat elemental, graduat escolar, ESO, FPI",4557
1998,01,01,01,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",4160
1998,01,01,01,"Estudis primaris, certificat d'escolaritat, EGB",11330
1998,01,01,01,"Estudis universitaris, CFGS grau superior",2306
1998,01,01,01,No consta,1063
1998,01,01,01,Sense estudis,7715
1998,01,01,02,"Batxillerat elemental, graduat escolar, ESO, FPI",1904
1998,01,01,02,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",2364
1998,01,01,02,"Estudis primaris, certificat d'escolaritat, EGB",3922
1998,01,01,02,"Estudis universitaris, CFGS grau superior",1911
1998,01,01,02,No consta,340
1998,01,01,02,Sense estudis,2273
1998,01,01,03,"Batxillerat elemental, graduat escolar, ESO, FPI",2489
1998,01,01,03,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",1616
1998,01,01,03,"Estudis primaris, certificat d'escolaritat, EGB",4648
